Site ID,BV24/0070
Site Name,BV24/0070
Sample ID,183455901
Collection Date,30-Aug 2017 10:15am
Name,Value,Units
"Alkalinity, Total","88.0","g/m3 as CaCO3"
"Ammoniacal Nitrogen","<0.010","mg/L"
"Arsenic, Dissolved","<0.0010","mg/L"
"Bicarbonate","108.000","mg/L  at 25°C"
"Calcium, Dissolved","29.000","mg/L"
"Chloride","3.700","mg/L"
"Conductivity","22.9","mS/m"
"Conductivity (Field)","22.96","mS/m"
"Difference in Ion Balance","1.340","%"
"Dissolved Organic Carbon","<0.500","mg/L"
"Dissolved Oxygen","6.410","mg/L"
"Dissolved Oxygen Saturation","62.900","%"
"Dissolved Reactive Phosphorus","0.0041","mg/L"
"E. coli","<1","MPN/100mL"
"Hardness, Total","94.000","g/m3 as CaCO3"
"Iron, Dissolved","<0.020","mg/L"
"Magnesium, Dissolved","5.000","mg/L"
"Manganese, Dissolved","0.0006","mg/L"
"Nitrate Nitrogen","4.800","mg/L"
"Nitrate-N Nitrite-N","4.800","g/m3"
"Nitrite Nitrogen","<0.002","mg/L"
"Oxidation Reduction Potential","140.000","mV"
"pH","7.2",""
"pH (Field)","6.66",""
"Potassium, Dissolved","1.170","mg/L"
"Silica, Reactive","17.300","mg/L  as SiO2"
"Sodium, Dissolved","7.900","mg/L"
"Sulphate","5.000","mg/L"
"Sum of anions","2.300","meq/L"
"Sum of cations","2.300","meq/L"
"Total Coliforms","5.00","number/100mL"
"Total Dissolved Phosphorus","0.004","mg/L"
"Total Dissolved Phosphorus Digestion","*",""
"Water Temperature (Field)","13.1","C"
