Site ID,L36/0393
Site Name,L36/0393
Sample ID,20236125
Collection Date,20-Oct 2023 09:45am
Name,Value,Units
"Alkalinity, Total","39.0","g/m3 as CaCO3"
"Aluminium, Dissolved","0.030","mg/L"
"Ammoniacal Nitrogen","<0.010","mg/L"
"Bicarbonate","47.000","mg/L  at 25°C"
"Calcium, Dissolved","17.100","mg/L"
"Chloride","4.800","mg/L"
"Conductivity","13.4","mS/m"
"Conductivity (Field)","12.86","mS/m"
"Difference in Ion Balance","0.840","%"
"Dissolved Oxygen","7.020","mg/L"
"Dissolved Oxygen Saturation","66.900","%"
"Dissolved Reactive Phosphorus","0.0100","mg/L"
"E. coli","7","MPN/100mL"
"Hardness, Total","52.000","g/m3 as CaCO3"
"Iron, Dissolved","<0.020","mg/L"
"Magnesium, Dissolved","2.200","mg/L"
"Manganese, Dissolved","0.0012","mg/L"
"Nitrate Nitrogen","2.200","mg/L"
"Nitrate-N Nitrite-N","2.200","g/m3"
"Nitrite Nitrogen","<0.002","mg/L"
"Oxidation Reduction Potential","325.300","mV"
"pH","7.4",""
"pH (Field)","6.05",""
"Potassium, Dissolved","1.540","mg/L"
"Silica, Reactive","9.100","mg/L  as SiO2"
"Sodium, Dissolved","4.500","mg/L"
"Sulphate","9.200","mg/L"
"Sum of anions","1.260","meq/L"
"Sum of cations","1.280","meq/L"
"Total Coliforms","1730","number/100mL"
"Total Dissolved Phosphorus","0.010","mg/L"
"Water Temperature (Field)","12.7","C"
